domain,num_a_fail,rate_all,num_a_all,num_a_success,rate_a_fail
oth.eve.mdt.qq.com,1,0.01%,212,211,0.47%
ecs.office.com,1,0.01%,175,174,0.57%
wdl1.cache.wps.cn,1,0.01%,136,135,0.74%
update.wps.cn,1,0.01%,148,147,0.68%
btrace.qq.com,1,0.01%,250,249,0.40%
pconf.f.360.cn,1,0.01%,157,156,0.64%
sconf.f.360.cn,1,0.01%,156,155,0.64%
update.pan.baidu.com,1,0.01%,153,152,0.65%
db.local.clamav.net,1,0.01%,402,401,0.25%
fe3cr.delivery.mp.microsoft.com,1,0.01%,118,117,0.85%
pub.idqqimg.com,1,0.01%,195,194,0.51%
www.163.com,0,0.00%,11032,11032,0.00%
ntp.ubuntu.com,0,0.00%,13254,13254,0.00%
www.baidu.com,0,0.00%,13466,13466,0.00%
dl.min.io,0,0.00%,695,695,0.00%
hub.upyun.com,0,0.00%,290,290,0.00%
connectivity-check.ubuntu.com,0,0.00%,1967,1967,0.00%
osfsr.lenovomm.com,0,0.00%,469,469,0.00%
dsp.lenovo.com.cn,0,0.00%,139,139,0.00%
edragent.sangfor.com.cn,0,0.00%,1599,1599,0.00%
query.hicloud.com,0,0.00%,3007,3007,0.00%
bash.givemexyz.in,0,0.00%,557,557,0.00%
hsk-embed.oray.com,0,0.00%,498,498,0.00%
analytics.yinxiang.com,0,0.00%,129,129,0.00%
pan.baidu.com,0,0.00%,869,869,0.00%
diskapi.baidu.com,0,0.00%,243,243,0.00%
sl-tk.oray.com,0,0.00%,668,668,0.00%
log.tailscale.io,0,0.00%,409,409,0.00%
api.miwifi.com,0,0.00%,1166,1166,0.00%
smtp.qq.com,0,0.00%,306,306,0.00%
client.wns.windows.com,0,0.00%,281,281,0.00%
rq.wh.cmcm.com,0,0.00%,434,434,0.00%
szextshort.weixin.qq.com,0,0.00%,109,109,0.00%
rq.drcct.cloud.duba.net,0,0.00%,212,212,0.00%
daisy.ubuntu.com,0,0.00%,1660,1660,0.00%
packages.deepin.com,0,0.00%,281,281,0.00%
settings-win.data.microsoft.com,0,0.00%,1670,1670,0.00%
usercount.dockernb.com,0,0.00%,142,142,0.00%
public.dns.iij.jp,0,0.00%,216,216,0.00%
grafana.com,0,0.00%,149,149,0.00%
default.exp-tas.com,0,0.00%,385,385,0.00%
rq.upgrade.drivergenius.com,0,0.00%,154,154,0.00%
c.go-mpulse.net,0,0.00%,116,116,0.00%
broker.miwifi.com,0,0.00%,323,323,0.00%
rq.upgrade.cmpc.cmcm.com,0,0.00%,131,131,0.00%
dns.msftncsi.com,0,0.00%,3011,3011,0.00%
h5.qzone.qq.com,0,0.00%,506,506,0.00%
smartscreen-prod.microsoft.com,0,0.00%,360,360,0.00%
dns.google,0,0.00%,809,809,0.00%
high-frequency-gray.zhhainiao.com,0,0.00%,105,105,0.00%
authds.todesk.com,0,0.00%,145,145,0.00%
rs1.qq.com,0,0.00%,148,148,0.00%
ts1.qq.com,0,0.00%,157,157,0.00%
rs2.qq.com,0,0.00%,144,144,0.00%
ts2.qq.com,0,0.00%,151,151,0.00%
doh.pub,0,0.00%,160,160,0.00%
edge.microsoft.com,0,0.00%,792,792,0.00%
www.bing.com,0,0.00%,266,266,0.00%
ocsp.entrust.net,0,0.00%,120,120,0.00%
imap.qq.com,0,0.00%,153,153,0.00%
p3p.sogou.com,0,0.00%,267,267,0.00%
qingcenter.wps.cn,0,0.00%,248,248,0.00%
shuc-pc-hunt.ksord.com,0,0.00%,335,335,0.00%
1min.pcfg.cache.wpscdn.cn,0,0.00%,105,105,0.00%
mmbiz.qpic.cn,0,0.00%,148,148,0.00%
apd-pcdnwxlogin.teg.tencent-cloud.net,0,0.00%,4565,4565,0.00%
az764295.vo.msecnd.net,0,0.00%,380,380,0.00%
arc.msn.com,0,0.00%,173,173,0.00%
ris.api.iris.microsoft.com,0,0.00%,112,112,0.00%
qing.wps.cn,0,0.00%,232,232,0.00%
vipapi.wps.cn,0,0.00%,149,149,0.00%
contile.services.mozilla.com,0,0.00%,462,462,0.00%
