159.226.95.34,"{'0': 10255, '3': 119, '2': 12}"
124.16.136.200,"{'0': 5729, '3': 1604}"
159.226.95.49,"{'0': 2638, '3': 568, '4': 25}"
124.16.139.182,"{'3': 1587, '0': 62}"
124.16.140.6,"{'0': 1480, '3': 44, '2': 1}"
159.226.95.47,"{'0': 1402, '2': 5, '3': 3}"
10.0.0.3,{'0': 1252}
124.16.139.132,"{'0': 1171, '3': 12}"
124.16.137.93,"{'0': 1014, '2': 149, '3': 4}"
159.226.95.67,"{'0': 1107, '3': 23}"
159.226.5.174,"{'0': 1057, '3': 8}"
124.16.139.124,"{'0': 563, '3': 268, '2': 52}"
159.226.95.33,"{'0': 813, '3': 37, '2': 8}"
159.226.95.72,"{'0': 737, '3': 111, '2': 4}"
159.226.95.37,"{'0': 765, '4': 8}"
159.226.5.17,"{'0': 676, '2': 2}"
159.226.95.36,"{'0': 615, '3': 18}"
124.16.140.20,"{'0': 622, '2': 3, '3': 4}"
124.16.137.194,"{'0': 575, '5': 1, '3': 23}"
124.16.137.12,"{'0': 592, '3': 5}"
159.226.95.66,"{'3': 298, '0': 158}"
159.226.95.69,"{'3': 62, '0': 354}"
159.226.95.74,"{'0': 389, '3': 19, '2': 3}"
124.16.138.122,"{'0': 350, '3': 25}"
159.226.5.113,"{'3': 88, '0': 279}"
10.10.112.26,{'0': 320}
10.10.112.1,{'0': 301}
10.10.102.13,{'0': 288}
159.226.5.173,"{'0': 265, '3': 2}"
124.16.137.11,"{'0': 253, '2': 4, '3': 7}"
192.168.126.225,{'0': 257}
159.226.94.157,{'0': 249}
159.226.5.169,"{'3': 13, '0': 213}"
159.226.95.65,"{'0': 193, '3': 25}"
192.168.125.68,{'0': 214}
192.168.126.186,{'0': 210}
124.16.140.36,"{'0': 207, '3': 3}"
192.168.255.151,{'0': 206}
192.168.126.188,{'0': 196}
124.16.136.102,"{'0': 188, '3': 2}"
124.16.139.61,{'0': 184}
124.16.141.245,{'0': 183}
10.10.102.106,{'0': 177}
10.10.102.42,{'0': 172}
124.16.139.178,"{'0': 151, '5': 1, '3': 1}"
159.226.95.38,"{'0': 137, '3': 1}"
124.16.137.123,{'0': 126}
159.226.95.51,{'0': 122}
159.226.95.5,{'0': 122}
10.10.102.94,{'0': 122}
124.16.139.133,{'0': 117}
159.226.95.71,"{'0': 34, '3': 81}"
124.16.136.199,"{'0': 92, '3': 21}"
192.168.126.195,{'0': 108}
124.16.141.62,"{'3': 95, '0': 12}"
10.10.103.212,{'0': 103}
124.16.140.40,"{'0': 94, '3': 4, '2': 1}"
10.10.110.46,{'0': 96}
192.168.126.187,{'0': 96}
192.168.126.39,{'0': 90}
124.16.139.161,{'0': 85}
124.16.141.248,"{'0': 83, '3': 2}"
124.16.136.211,{'0': 84}
124.16.141.95,{'0': 81}
192.168.125.31,{'0': 80}
192.168.126.152,{'0': 76}
10.10.102.97,{'0': 73}
10.10.103.188,{'0': 71}
10.10.102.61,{'0': 69}
124.16.141.246,{'0': 68}
124.16.141.29,"{'0': 63, '3': 3}"
10.10.102.138,{'0': 66}
10.10.103.213,{'0': 65}
10.10.111.151,{'0': 64}
159.226.5.33,"{'0': 55, '3': 5}"
192.168.124.181,{'0': 58}
10.10.103.47,{'0': 57}
124.16.141.82,{'0': 56}
192.168.126.159,{'0': 56}
10.10.112.44,{'0': 56}
192.168.255.91,{'0': 55}
124.16.141.244,{'0': 53}
192.168.124.47,{'0': 52}
10.10.111.111,{'0': 52}
124.16.141.17,{'0': 50}
192.168.126.42,{'0': 49}
10.10.114.24,{'0': 49}
10.10.112.73,{'0': 49}
192.168.126.220,{'0': 48}
192.168.126.206,{'0': 48}
192.168.126.208,{'0': 48}
192.168.126.165,{'0': 48}
124.16.141.76,{'0': 42}
10.10.112.50,{'0': 42}
10.10.114.229,{'0': 40}
192.168.171.81,{'0': 40}
124.16.138.121,{'0': 38}
10.10.111.169,{'0': 37}
192.168.124.39,{'0': 36}
192.168.124.173,{'0': 36}
10.10.111.161,{'0': 34}
124.16.136.113,"{'0': 32, '3': 2}"
192.168.171.43,{'0': 34}
124.16.139.246,"{'0': 29, '3': 4}"
124.16.141.118,{'0': 32}
10.10.110.100,{'0': 32}
124.16.141.83,{'0': 31}
10.10.111.49,{'0': 30}
124.16.141.107,{'0': 30}
159.226.95.45,{'0': 30}
124.16.139.208,{'0': 28}
124.16.138.103,"{'0': 20, '3': 8}"
124.16.136.100,{'0': 27}
10.10.102.54,{'0': 27}
10.10.103.98,{'0': 26}
10.10.110.253,{'0': 26}
64.62.197.24,{'0': 26}
64.62.197.28,{'0': 26}
192.168.125.47,{'0': 26}
124.16.136.209,"{'0': 22, '3': 2}"
10.10.103.199,{'0': 24}
192.168.125.146,{'0': 24}
10.10.102.182,{'0': 24}
10.10.103.25,{'0': 24}
124.16.139.175,"{'0': 18, '3': 4}"
124.16.139.172,{'0': 22}
124.16.136.216,{'0': 22}
192.168.124.131,{'0': 22}
10.10.112.51,{'0': 20}
124.16.141.84,{'0': 20}
192.168.255.172,{'0': 20}
124.16.138.64,"{'0': 18, '3': 2}"
10.10.111.181,{'0': 18}
10.10.103.172,{'0': 17}
124.16.140.34,{'0': 16}
124.16.141.9,"{'0': 14, '3': 2}"
10.10.102.140,{'0': 14}
192.168.125.46,{'0': 14}
159.226.95.41,{'0': 14}
124.16.139.142,{'0': 13}
124.16.136.101,{'0': 13}
192.168.124.23,{'0': 13}
124.16.141.247,"{'0': 12, '3': 1}"
10.10.112.64,{'0': 12}
192.168.126.228,{'0': 12}
124.16.141.243,{'0': 11}
10.10.110.80,{'0': 11}
124.16.141.120,{'0': 10}
124.16.141.1,{'0': 10}
10.10.102.202,{'0': 10}
10.10.111.142,{'0': 9}
192.168.126.246,{'0': 9}
10.10.103.167,{'0': 9}
10.10.102.108,{'0': 8}
124.16.139.251,{'0': 8}
192.168.124.45,{'0': 8}
124.16.141.46,{'0': 8}
124.16.141.183,"{'0': 3, '2': 2, '3': 3}"
10.10.102.176,{'0': 8}
10.10.103.162,{'0': 8}
159.226.95.43,{'0': 8}
124.16.141.44,{'0': 8}
10.10.103.73,{'0': 7}
124.16.141.69,{'3': 7}
192.168.255.89,{'0': 7}
124.16.136.251,"{'2': 5, '3': 1}"
10.10.103.179,{'0': 6}
10.10.102.51,{'0': 6}
124.16.141.24,{'0': 6}
10.10.112.58,{'0': 6}
124.16.138.72,{'0': 5}
10.10.103.158,{'0': 5}
124.16.139.144,{'0': 4}
192.168.125.76,{'0': 4}
159.226.95.59,{'0': 4}
124.16.141.14,{'0': 4}
10.10.110.77,{'0': 4}
124.16.139.253,"{'0': 2, '3': 2}"
159.226.95.192,{'0': 4}
159.226.95.201,{'0': 4}
10.10.111.136,{'0': 4}
10.10.114.236,{'0': 4}
192.168.125.36,{'0': 4}
159.226.95.32,{'0': 4}
192.168.125.54,{'0': 4}
192.168.125.149,{'0': 4}
10.10.103.62,{'0': 4}
192.168.126.32,{'0': 4}
192.168.171.53,{'0': 4}
192.168.171.77,{'0': 4}
10.10.110.107,{'0': 3}
159.226.94.133,{'0': 3}
124.16.138.183,{'0': 3}
124.16.141.97,{'0': 3}
10.10.112.200,{'0': 3}
10.10.102.2,{'0': 3}
124.16.138.90,{'3': 3}
159.226.94.150,{'0': 2}
159.226.94.135,{'0': 2}
124.16.141.242,{'0': 2}
10.10.111.106,{'0': 2}
114.114.114.114,{'0': 2}
124.16.141.47,{'0': 2}
159.226.5.146,{'0': 2}
10.10.111.108,{'0': 2}
159.226.95.151,{'0': 2}
159.226.95.145,{'0': 2}
159.226.95.119,{'0': 2}
159.226.94.127,{'0': 2}
159.226.94.67,{'0': 2}
10.10.103.206,{'0': 2}
159.226.95.40,{'0': 2}
192.168.255.110,{'0': 1}
124.16.141.30,{'0': 1}
159.226.95.70,{'3': 1}
159.226.95.153,{'0': 1}
10.10.102.152,{'0': 1}
124.16.138.60,{'3': 1}
10.10.113.94,{'0': 1}
