nxdomain,num
_http._tcp.cn.archive.ubuntu.com,7
fucheng-hp,7
lb._dns-sd._udp.0.30.168.192.in-addr.arpa,7
b._dns-sd._udp.0.1.168.192.in-addr.arpa,7
api.jy.zuishidai.com,7
discovery-v4-3.syncthing.net,7
sn-zw,7
ws02.pull.yximgs.com,7
xy.pull.yximgs.com,7
105.81.10.10.in-addr.arpa,7
107.81.10.10.in-addr.arpa,7
_ldap._tcp.c3eec5e1-3fbf-4374-a416-0419a5777273.domains._msdcs.nfs.iscas.ac.cn,7
wpad.openstacklocal,7
122.81.10.10.in-addr.arpa,7
144.81.10.10.in-addr.arpa,7
168.81.10.10.in-addr.arpa,7
http.local,7
http,7
ad.360yield.com,7
report.huatuo.qq.com,7
9.5.e.b.2.3.e.f.f.f.e.2.f.9.0.6.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa,6
c.7.c.e.8.6.e.f.f.f.7.a.2.4.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa,6
b.8.1.c.7.2.e.f.f.f.c.b.2.4.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa,6
0.f.a.9.e.1.e.f.f.f.7.d.6.e.4.b.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa,6
e.6.f.e.2.3.e.f.f.f.7.e.8.9.c.0.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa,6
c.0.5.5.f.a.e.f.f.f.1.b.7.0.4.4.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa,6
0.5.0.8.1.8.e.f.f.f.1.f.b.0.4.5.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa,6
5.b.2.8.a.5.e.f.f.f.0.8.b.5.0.b.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa,6
5.7.e.e.9.5.e.f.f.f.3.8.a.7.8.1.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa,6
4.3.f.1.a.f.e.f.f.f.4.9.7.e.0.7.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa,6
b4bf120.pf.gladns.com,6
_http._tcp.security.ubuntu.com,6
b._dns-sd._udp.0.30.168.192.in-addr.arpa,6
static.zhimg.com,6
db._dns-sd._udp.0.216.16.172.in-addr.arpa,6
db._dns-sd._udp.0.1.168.192.in-addr.arpa,6
notify.sangfor.com.cn,6
intelligence.sangfor.com.cn,6
clt.sangfor.com.cn,6
f5-1,6
isatap.www.tendawifi.com,6
86.81.10.10.in-addr.arpa,6
100.81.10.10.in-addr.arpa,6
msftspeechmodelsprod.azureedge.net,6
81.81.10.10.in-addr.arpa,6
wspeed.qq.com,6
252.34.71.167.in-addr.arpa,6
mail.cstnet.cn.flash,6
_ldap._tcp.dc._msdcs.nfs.iscas.ac.cn,6
108.81.10.10.in-addr.arpa,6
161.147.60.179.in-addr.arpa,6
119.81.10.10.in-addr.arpa,6
160.81.10.10.in-addr.arpa,6
wpad.msxf.com,6
