resolver_ip,num_a_all,rate_a_all,num_a_success,rate_a_success,asnum,asname,country
43.225.84.1,2,0.01%,2,100.00%,133865,"IQIYI-AS-AP Beijing IQIYI Science & Technology Co., Ltd.",CN
192.55.83.30,1,0.00%,1,100.00%,396570,VRSN-AC50-340,US
208.67.222.222,1,0.00%,1,100.00%,36692,OPENDNS,US
173.245.59.134,1,0.00%,1,100.00%,13335,CLOUDFLARENET,US
10.61.0.1,1,0.00%,1,100.00%,null,null,null
199.7.91.13,1,0.00%,1,100.00%,10886,MAX-GIGAPOP,US
46.28.245.82,1,0.00%,0,0.00%,15830,EQUINIX,NL
172.64.33.211,1,0.00%,0,0.00%,13335,CLOUDFLARENET,US
192.41.162.30,1,0.00%,0,0.00%,396570,VRSN-AC50-340,US
192.168.210.1,1,0.00%,1,100.00%,null,null,null
173.201.74.7,1,0.00%,1,100.00%,44273,GODADDY-DNS,DE
23.67.73.110,1,0.00%,1,100.00%,20940,AKAMAI-ASN1,NL
