159.226.95.66,"{1: 4160970, 28: 155630, 12: 31490, 65: 1814, 2: 928198, 0: 445, 16: 394, 33: 83, 64: 2, 6: 7}"
124.16.138.126,"{1: 632871, 28: 603423, 12: 5926, 43: 223, 0: 16, 10: 1, 48: 62, 16: 15, 33: 67, 5: 1}"
159.226.95.34,"{1: 456383, 28: 250767, 12: 18960, 65: 11088, 33: 370, 6: 829, 16: 84, 0: 4, 35: 3}"
124.16.137.93,"{1: 275712, 28: 348735, 12: 392, 65: 3364, 64: 7, 33: 38, 0: 1, 16: 1, 35: 1}"
124.16.136.200,"{1: 290555, 28: 193105, 12: 83657, 65: 1959, 33: 155, 16: 1184, 6: 32, 0: 61, 10: 21, 255: 2}"
124.16.139.61,"{1: 284388, 28: 128511, 43: 226, 12: 2674, 65: 9465, 33: 176, 6: 150, 0: 22, 16: 37, 2: 1, 48: 4, 5: 10, 35: 1, 10: 4}"
159.226.95.71,"{1: 326951, 28: 86892, 65: 6928, 6: 186, 12: 740, 64: 7, 255: 1, 33: 27, 16: 11, 0: 87}"
124.16.137.61,"{12: 1652, 1: 217859, 5: 1223, 28: 104874, 65: 11819, 15: 159, 16: 994, 0: 314, 33: 136, 64: 13, 6: 3, 35: 1}"
124.16.137.194,"{28: 37212, 1: 248843, 12: 1827, 65: 3056, 33: 160, 0: 39, 16: 141, 6: 22, 64: 8, 10: 12, 35: 7}"
159.226.95.33,"{1: 217153, 16: 26, 65: 16056, 28: 44865, 12: 8626, 6: 30, 33: 127, 2: 34, 35: 2, 0: 3}"
124.16.139.124,"{1: 244003, 28: 25527, 12: 8958, 33: 51, 65: 1177, 2: 1, 16: 40, 0: 5, 6: 4, 10: 40}"
10.0.0.3,{1: 278941}
159.226.95.67,"{28: 71535, 1: 172584, 6: 3336, 12: 903, 65: 3645, 5: 61, 0: 16, 16: 1}"
159.226.5.174,"{1: 224024, 28: 12277, 12: 3602, 65: 5262, 16: 23, 33: 53, 6: 72, 0: 1}"
124.16.138.122,"{1: 144122, 12: 6592, 28: 77992, 33: 25, 43: 6, 48: 5, 0: 2, 10: 1}"
124.16.139.134,"{28: 79226, 1: 135371, 65: 445, 16: 3, 12: 42, 33: 1}"
159.226.95.49,"{1: 163188, 28: 45866, 12: 811, 65: 2847, 33: 82, 5: 55, 6: 4, 2: 2, 16: 4, 0: 1, 35: 2}"
124.16.139.182,"{1: 105685, 28: 101311, 33: 70, 0: 146, 10: 4}"
124.16.139.208,"{1: 129803, 28: 20319, 12: 805, 65: 3105, 33: 45, 6: 11, 16: 13, 64: 2, 35: 6, 0: 2}"
124.16.139.133,"{1: 107020, 28: 42063, 12: 504, 65: 1663, 33: 1}"
159.226.95.72,"{1: 70289, 28: 77394, 65: 3176, 12: 131, 0: 4, 16: 9, 33: 32, 6: 4}"
159.226.95.69,"{28: 25415, 1: 120993, 65: 1060, 12: 87, 33: 1}"
159.226.5.17,"{1: 128054, 28: 12430, 65: 4253, 12: 297, 16: 81, 2: 4, 6: 6, 0: 1}"
124.16.139.163,"{12: 1045, 1: 126275, 65: 12875, 28: 4222, 6: 16, 64: 8, 16: 14, 33: 2}"
159.226.5.113,"{1: 105632, 28: 30588, 65: 6491, 255: 1, 12: 397, 16: 103, 0: 2, 35: 2, 33: 5, 6: 4}"
