domain,num_a_fail,rate_all,num_a_all,num_a_success,rate_a_fail
id.google.com,2,0.07%,3,1,66.67%
contentcenter-drcn.dbankcdn.com,2,0.07%,4,2,50.00%
pgdt.gtimg.cn.sched.legopic2.tdnsv6.com.tpic.vwnti.yrzhcloud.cn,2,0.07%,4,2,50.00%
h5hosting-drcn.dbankcdn.cn,2,0.07%,4,2,50.00%
cdn.ynuf.aliapp.org,2,0.07%,4,2,50.00%
cdn.exp.xiaomi.com,2,0.07%,4,2,50.00%
mini.360.cn,2,0.07%,4,2,50.00%
partner.googleadservices.com,2,0.07%,4,2,50.00%
slardar-bd.feishu.cn.w.cdngslb.com,2,0.07%,4,2,50.00%
auth.docker.io,2,0.07%,4,2,50.00%
mubu.com,2,0.07%,4,2,50.00%
adservice.google.com,2,0.07%,4,2,50.00%
login.msa.msidentity.com,2,0.07%,4,2,50.00%
static.nowcoder.com,2,0.07%,4,2,50.00%
cma-china.itunes-apple.com.akadns.net,2,0.07%,3,1,66.67%
uploadfiles.nowcoder.com,2,0.07%,4,2,50.00%
oneclient.sfx.ms,2,0.07%,5,3,40.00%
pull-lls-spe-l3.douyincdn.com,2,0.07%,4,2,50.00%
static.pddpic.com,2,0.07%,4,2,50.00%
promotion.pddpic.com,2,0.07%,4,2,50.00%
funimg.pddpic.com,2,0.07%,4,2,50.00%
n-devs-sgw.tplinkcloud.com.cn,2,0.07%,4,2,50.00%
avatar2-1.pddpic.com,2,0.07%,4,2,50.00%
avatar2.pddpic.com,2,0.07%,4,2,50.00%
push-resources-1258344701.file.myqcloud.com,2,0.07%,3,1,66.67%
gchat.qpic.cn,2,0.07%,4,2,50.00%
push-resources.sched.dma.tdnsdl1.cn.cdl.cdncloud.idc400.com,2,0.07%,3,1,66.67%
www.vod.lxdns.com,2,0.07%,4,2,50.00%
upos-sz-mirrorali.bilivideo.com,2,0.07%,4,2,50.00%
weread-1258476243.file.myqcloud.com,2,0.07%,4,2,50.00%
v5-e.douyinvod.com,2,0.07%,4,2,50.00%
e673.dsce9.akamaiedge.net,2,0.07%,4,2,50.00%
aapl-maps.qtlcdn.com,2,0.07%,2,0,100.00%
e12919.dscd.akamaiedge.net,2,0.07%,2,0,100.00%
dl.delivery.mp.microsoft.com,2,0.07%,4,2,50.00%
img.alicdn.com.danuoyi.alicdn.com,2,0.07%,4,2,50.00%
qpic.y.qq.com,2,0.07%,4,2,50.00%
signaler-pa.clients6.google.com,2,0.07%,4,2,50.00%
f-log-win-extension.grammarly.io,2,0.07%,4,2,50.00%
drive.google.com,2,0.07%,8,6,25.00%
groups.google.com,2,0.07%,6,4,33.33%
hangouts.google.com,2,0.07%,4,2,50.00%
rc10-g4.oray.com,2,0.07%,4,2,50.00%
bt2.archive.org,2,0.07%,8,6,25.00%
r3.o.lencr.org,2,0.07%,4,2,50.00%
stream.zotero.org,2,0.07%,4,2,50.00%
discovery-v6.verysync.cn,2,0.07%,2,0,100.00%
metrics.icloud.com,2,0.07%,4,2,50.00%
login.feishu.cn,2,0.07%,4,2,50.00%
p3.music.126.net.w.alikunlun.com,2,0.07%,4,2,50.00%
p3.music.126.net.163jiasu.com,2,0.07%,4,2,50.00%
p4.music.126.net,2,0.07%,4,2,50.00%
p4.music.126.net.163jiasu.com,2,0.07%,4,2,50.00%
l2.hiwifi.com,2,0.07%,4,2,50.00%
high-frequency-gray-cdn.duba.net,2,0.07%,4,2,50.00%
btinstall-artifacts.bittorrent.com,2,0.07%,4,2,50.00%
i-5600.b-2372.helper.bench.utorrent.com,2,0.07%,4,2,50.00%
crl.certum.pl,2,0.07%,4,2,50.00%
api.segment.io,2,0.07%,4,2,50.00%
download.game.yy.com,2,0.07%,4,2,50.00%
kinesis.us-east-1.amazonaws.com,2,0.07%,4,2,50.00%
discovery-v6.syncthing.net,2,0.07%,2,0,100.00%
s2.go-mpulse.net,2,0.07%,4,2,50.00%
trial-eum-clientnsv4-s.akamaihd.net,2,0.07%,4,2,50.00%
trial-eum-clienttons-s.akamaihd.net,2,0.07%,4,2,50.00%
assets.adobedtm.com,2,0.07%,4,2,50.00%
684d0d44.akstat.io,2,0.07%,4,2,50.00%
consent.trustarc.com,2,0.07%,4,2,50.00%
hilton.demdex.net,2,0.07%,4,2,50.00%
ssl.gstatic.com,2,0.07%,4,2,50.00%
assets.msn.cn-c.edgekey.net.globalredir.akadns.NET,2,0.07%,2,0,100.00%
3.openwrt.pool.ntp.org,2,0.07%,2,0,100.00%
2.openwrt.pool.ntp.org,2,0.07%,2,0,100.00%
1.openwrt.pool.ntp.org,2,0.07%,2,0,100.00%
6-c-0003.c-msedge.net,2,0.07%,2,0,100.00%
passport.biligame.com,1,0.03%,2,1,50.00%
passport.bigfun.cn,1,0.03%,2,1,50.00%
passport.bigfunapp.cn,1,0.03%,2,1,50.00%
passport.shanghaihuanli.com,1,0.03%,2,1,50.00%
passport.bilibili.cn,1,0.03%,2,1,50.00%
www.icloud.com,1,0.03%,4,3,25.00%
data.bilicdn2.com,1,0.03%,2,1,50.00%
pic1.zhimg.com,1,0.03%,2,1,50.00%
pic4.zhimg.com,1,0.03%,2,1,50.00%
self.events.data.microsoft.com,1,0.03%,101,100,0.99%
ping.pinyin.sogou.com,1,0.03%,56,55,1.79%
info.pinyin.sogou.com,1,0.03%,39,38,2.56%
h-adashx.ut.taobao.com,1,0.03%,69,68,1.45%
gecko-bd.feishu.cn.w.cdngslb.com,1,0.03%,2,1,50.00%
upos-sz-mirrorhw.bilivideo.com,1,0.03%,2,1,50.00%
notice.wps.cn,1,0.03%,8,7,12.50%
le.wps.cn,1,0.03%,4,3,25.00%
qr.wps.cn,1,0.03%,5,4,20.00%
zj-roaming.wps.cn,1,0.03%,4,3,25.00%
wdl1.file.cache.wpscdn.cn,1,0.03%,2,1,50.00%
dl.vas.wpscdn.cn,1,0.03%,7,6,14.29%
x1.c.lencr.org,1,0.03%,16,15,6.25%
assets.msn.cn,1,0.03%,34,33,2.94%
boss.hdslb.com,1,0.03%,2,1,50.00%
bimp.hdslb.com,1,0.03%,2,1,50.00%
ctldl.windowsupdate.com,1,0.03%,96,95,1.04%
config.edge.skype.com,1,0.03%,21,20,4.76%
dev,1,0.03%,1,0,100.00%
ims-na1.adobelogin.com,1,0.03%,3,2,33.33%
www.msftncsi.com,1,0.03%,131,130,0.76%
tp.m-team.cc,1,0.03%,5,4,20.00%
m.qpic.cn,1,0.03%,3,2,33.33%
iduxzj9.qiniudns.com,1,0.03%,1,0,100.00%
crl3.digicert.com,1,0.03%,8,7,12.50%
post.ksosoft.com,1,0.03%,4,3,25.00%
m8.music.126.net.w.kunlungr.com,1,0.03%,2,1,50.00%
ic.wps.cn,1,0.03%,5,4,20.00%
update.wps.cn,1,0.03%,5,4,20.00%
smarthome-drcn.dbankcdn.com,1,0.03%,3,2,33.33%
cdnimg.3g.qq.com,1,0.03%,2,1,50.00%
clients2.google.com,1,0.03%,31,30,3.23%
q-ring.q-9999.q-msedge.NET,1,0.03%,2,1,50.00%
maponline3.bdimg.com,1,0.03%,3,2,33.33%
maponline0.bdimg.com,1,0.03%,3,2,33.33%
maponline1.bdimg.com,1,0.03%,3,2,33.33%
acroipm2.adobe.com,1,0.03%,2,1,50.00%
px.moatads.com,1,0.03%,2,1,50.00%
tool.chinaz.com,1,0.03%,2,1,50.00%
csstools.chinaz.com,1,0.03%,2,1,50.00%
a2put.chinaz.com,1,0.03%,2,1,50.00%
oimageb7.ydstatic.com,1,0.03%,2,1,50.00%
app-measurement.com,1,0.03%,2,1,50.00%
g.alicdn.com,1,0.03%,9,8,11.11%
findermp.video.qq.com,1,0.03%,2,1,50.00%
amp-api-edge-lb-cn.itunes-apple.com.akadns.net,1,0.03%,3,2,33.33%
dldir1v6.qq.com,1,0.03%,3,2,33.33%
api.weathercn.com,1,0.03%,3,2,33.33%
s0.meituan.net,1,0.03%,3,2,33.33%
update.360safe.com,1,0.03%,9,8,11.11%
img-s-msn-com.akamaized.net,1,0.03%,8,7,12.50%
sb.scorecardresearch.com,1,0.03%,10,9,10.00%
assets2.msn.com,1,0.03%,6,5,16.67%
mmbiz.qpic.cn.sched.legopic1.tdnsv6.com,1,0.03%,4,3,25.00%
www.qq.com,1,0.03%,166,165,0.60%
img-s.msn.cn,1,0.03%,4,3,25.00%
t11.baidu.com,1,0.03%,3,2,33.33%
e4518.dscapi7.akamaiedge.net,1,0.03%,3,2,33.33%
ppui-static-pc.cdn.bcebos.com,1,0.03%,3,2,33.33%
updatem.360safe.com,1,0.03%,26,25,3.85%
dl.360safe.com,1,0.03%,1,0,100.00%
aistudio.baidu.com,1,0.03%,1,0,100.00%
safebrowsing-re.aaplimg.com,1,0.03%,1,0,100.00%
t10.baidu.com,1,0.03%,4,3,25.00%
t12.baidu.com,1,0.03%,4,3,25.00%
pic.rmb.bdstatic.com,1,0.03%,4,3,25.00%
helpdubaclient.ksmobile.com,1,0.03%,11,10,9.09%
tracker.darmowy-torrent.pl,1,0.03%,1,0,100.00%
se.360.cn,1,0.03%,3,2,33.33%
recv-wd.gridsumdissector.com,1,0.03%,1,0,100.00%
s1.vip.wpscdn.cn,1,0.03%,3,2,33.33%
img1.pcfg.cache.wpscdn.cn,1,0.03%,2,1,50.00%
api.flash.cn,1,0.03%,1,0,100.00%
tongji.flash.cn,1,0.03%,2,1,50.00%
cd.huoying666.com,1,0.03%,2,1,50.00%
sqimg.qq.com,1,0.03%,2,1,50.00%
h5hosting.dbankcdn.com,1,0.03%,2,1,50.00%
midas.gtimg.cn,1,0.03%,2,1,50.00%
appoptimize-drcn.dbankcdn.com,1,0.03%,1,0,100.00%
res.u-tools.cn,1,0.03%,2,1,50.00%
y.qq.com,1,0.03%,3,2,33.33%
bcp.crwdcntrl.net,1,0.03%,2,1,50.00%
api.onedrive.com,1,0.03%,4,3,25.00%
mdn.alicdn.com,1,0.03%,2,1,50.00%
pgdt.tc.qq.com,1,0.03%,3,2,33.33%
e19240.ca.s.tl88.NET,1,0.03%,2,1,50.00%
img.cdn.mvideo.xiaomi.com,1,0.03%,2,1,50.00%
client-api-cdn-cn.itunes-apple.com.akadns.net,1,0.03%,2,1,50.00%
itunes.apple.com,1,0.03%,2,1,50.00%
play.itunes.apple.com,1,0.03%,2,1,50.00%
is5-ssl.mzstatic.com,1,0.03%,2,1,50.00%
is4-ssl.mzstatic.com,1,0.03%,2,1,50.00%
is1-ssl.mzstatic.com,1,0.03%,2,1,50.00%
cdn.orayimg.com,1,0.03%,2,1,50.00%
pc001.update.lbmini.cmcm.com,1,0.03%,2,1,50.00%
www.belkin.com,1,0.03%,2,1,50.00%
tysdk.95516.com,1,0.03%,2,1,50.00%
upload-cdn.orayimg.com,1,0.03%,2,1,50.00%
adsmind.gdtimg.com.svideolego-dk.sched.dcloudstc.com,1,0.03%,2,1,50.00%
dc.applicationinsights.microsoft.com,1,0.03%,2,1,50.00%
cbjs.baidu.com,1,0.03%,2,1,50.00%
img2.baidu.com,1,0.03%,2,1,50.00%
img0.baidu.com,1,0.03%,2,1,50.00%
img1.baidu.com,1,0.03%,2,1,50.00%
firebaseinstallations.googleapis.com,1,0.03%,2,1,50.00%
pptpluginppt.keniu.com,1,0.03%,1,0,100.00%
search-operate.cdn.bcebos.com,1,0.03%,2,1,50.00%
verdaccio.org,1,0.03%,2,1,50.00%
kjjs.360.cn,1,0.03%,2,1,50.00%
csdnimg.cn,1,0.03%,3,2,33.33%
img-blog.csdnimg.cn,1,0.03%,2,1,50.00%
img-blog.csdn.net,1,0.03%,2,1,50.00%
s3a.pstatp.com,1,0.03%,2,1,50.00%
img-home.csdnimg.cn,1,0.03%,2,1,50.00%
emoji.qpic.cn.sched.legopic1.tdnsv6.com,1,0.03%,2,1,50.00%
pcvideoaliyun.titan.mgtv.com,1,0.03%,2,1,50.00%
pub.idqqimg.com.tc.qq.com,1,0.03%,2,1,50.00%
app2.myzaker.com,1,0.03%,2,1,50.00%
app.myzaker.com,1,0.03%,2,1,50.00%
zkres.myzaker.com,1,0.03%,2,1,50.00%
zkres1.myzaker.com,1,0.03%,2,1,50.00%
dm.toutiao.com,1,0.03%,2,1,50.00%
mssdk-bu.bytedance.com,1,0.03%,2,1,50.00%
fundingchoicesmessages.google.com,1,0.03%,2,1,50.00%
tpc.googlesyndication.com,1,0.03%,2,1,50.00%
s.fhtre.com,1,0.03%,2,1,50.00%
cm.g.doubleclick.net,1,0.03%,2,1,50.00%
qzs.gdtimg.com,1,0.03%,2,1,50.00%
zhanzhang.toutiao.com.w.cdngslb.com,1,0.03%,1,0,100.00%
unpkg.zhimg.com,1,0.03%,2,1,50.00%
vweixinthumb.tc.qq.com,1,0.03%,2,1,50.00%
tracker.ipv6tracker.ru,1,0.03%,1,0,100.00%
beacons3.gvt2.com,1,0.03%,2,1,50.00%
img.y.qq.com,1,0.03%,2,1,50.00%
images.nowcoder.com,1,0.03%,2,1,50.00%
cdn.icloud-content.com,1,0.03%,2,1,50.00%
www.runoob.com,1,0.03%,1,0,100.00%
api.amemv.com,1,0.03%,3,2,33.33%
api3-normal-c-lf.amemv.com,1,0.03%,2,1,50.00%
b0.bdstatic.com,1,0.03%,2,1,50.00%
img.da.mgtv.com,1,0.03%,2,1,50.00%
pub.idqqimg.com.sched.legopic1.tdnsv6.com,1,0.03%,2,1,50.00%
pull-hls-f96.douyincdn.com,1,0.03%,2,1,50.00%
odc-bnz07pap001-meta-geo.onedrive.akadns.NET,1,0.03%,2,1,50.00%
odc-bnz07pap001-meta-brs.onedrive.akadns.NET,1,0.03%,2,1,50.00%
pull-flv-l29.douyincdn.com,1,0.03%,2,1,50.00%
ws-keyboard.shouji.sogou.com,1,0.03%,2,1,50.00%
push-rtmp-f5-enc.douyincdn.com,1,0.03%,2,1,50.00%
pull-hls-vr-l11.douyincdn.com,1,0.03%,2,1,50.00%
vectormap0.bdimg.com,1,0.03%,2,1,50.00%
tlu.dl.delivery.mp.microsoft.com,1,0.03%,2,1,50.00%
pull-f5-hot.flive.douyincdn.com,1,0.03%,2,1,50.00%
pull-rtmp-l6-source.douyincdn.com,1,0.03%,2,1,50.00%
push-rtmp-l11-encryption.douyincdn.com,1,0.03%,2,1,50.00%
push-rtmp-l1-cny.douyincdn.com,1,0.03%,2,1,50.00%
push-rtmp-hs-f5.douyincdn.com,1,0.03%,2,1,50.00%
x2.c.lencr.org,1,0.03%,2,1,50.00%
pull-flv-f13.douyincdn.com,1,0.03%,2,1,50.00%
pull-tsl-vr-l3.douyincdn.com,1,0.03%,2,1,50.00%
pull-hs-f5.flive.ihuoshanlive.com,1,0.03%,2,1,50.00%
pull-hs-f5.flive.huoshanlive.com,1,0.03%,2,1,50.00%
pull-flv-l13.douyincdn.com,1,0.03%,2,1,50.00%
pull-tsl-vr-l11.douyincdn.com,1,0.03%,2,1,50.00%
push-rtmp-hs-spe-f5.douyincdn.com,1,0.03%,2,1,50.00%
pull-hls-hs-f5-tsl.douyincdn.com,1,0.03%,1,0,100.00%
push-rtmp-spe-l1.douyincdn.com,1,0.03%,2,1,50.00%
pull-tsl-spe-l11.douyincdn.com,1,0.03%,2,1,50.00%
push-rtmp-hs-vr-f5.douyincdn.com,1,0.03%,2,1,50.00%
pull-hls-spe-l26.douyincdn.com,1,0.03%,2,1,50.00%
pull-rtmp-l13.douyincdn.com,1,0.03%,2,1,50.00%
pull-tsl-spe-l26.douyincdn.com,1,0.03%,2,1,50.00%
pull-rtmp-f13.douyincdn.com,1,0.03%,2,1,50.00%
push-rtmp-l3.douyincdn.com,1,0.03%,2,1,50.00%
pull-l3-cny.douyincdn.com,1,0.03%,2,1,50.00%
pull-lls-spe-l11.douyincdn.com,1,0.03%,2,1,50.00%
pull-flv-f1-hs.pstatp.com,1,0.03%,2,1,50.00%
pull-rtmp-f6-hs.pstatp.com,1,0.03%,2,1,50.00%
pull-f5-vs.flive.douyincdn.com,1,0.03%,2,1,50.00%
pull-flv-l11-source.douyincdn.com,1,0.03%,2,1,50.00%
push-rtmp-l29.douyincdn.com,1,0.03%,2,1,50.00%
v5-httpdns.douyinvod.com,1,0.03%,2,1,50.00%
graph.facebook.com,1,0.03%,2,1,50.00%
v96.douyinvod.com,1,0.03%,2,1,50.00%
uci.edog.cdn.office.net,1,0.03%,2,1,50.00%
pull-flv-vr-l11.douyincdn.com,1,0.03%,1,0,100.00%
pull-lls-spe-l6.douyincdn.com,1,0.03%,2,1,50.00%
pull-flv-l1-hs.pstatp.com,1,0.03%,2,1,50.00%
pull-rtmp-l1.douyincdn.com,1,0.03%,1,0,100.00%
pull-rtmp-f1-hs.pstatp.com,1,0.03%,2,1,50.00%
pull-l3-source.douyincdn.com,1,0.03%,1,0,100.00%
video-hw-drcn.dbankcdn.cn,1,0.03%,2,1,50.00%
play.googleapis.com,1,0.03%,1,0,100.00%
pull-flv-f29.douyincdn.com,1,0.03%,2,1,50.00%
whoami.akamai.net,1,0.03%,2,1,50.00%
api5-normal-dsa-hl.amemv.com,1,0.03%,2,1,50.00%
v9.toutiaovod.com,1,0.03%,2,1,50.00%
pull-flv-spe-l26.douyincdn.com,1,0.03%,2,1,50.00%
video3.pddpic.com,1,0.03%,2,1,50.00%
img-1.pddpic.com,1,0.03%,2,1,50.00%
video-snapshot.pddpic.com,1,0.03%,2,1,50.00%
