Zone,"Zone UTF8",Delegated,"Registry Name","Registry Alias","Registry Info URL","Registry URL","Backend Name","Backend Alias","Backend Info URL","Backend URL","Whois Hostname","Whois Charset","Whois IPv6","Whois Options","Trademark Open","Trademark Close"
xn--eckvdtc9d,ポイント,1,"Amazon Registry Services, Inc.",Amazon-Registry-Services-Inc,http://ntldstats.com/registry/Amazon-Registry-Services-Inc,https://www.amazonregistry.com/,"GoDaddy Registry",GoDaddy-Registry,http://ntldstats.com/backend/GoDaddy-Registry,https://registry.godaddy/,whois.nic.xn--eckvdtc9d,utf8,1,,,
buy,buy,1,"Amazon Registry Services, Inc.",Amazon-Registry-Services-Inc,http://ntldstats.com/registry/Amazon-Registry-Services-Inc,https://www.amazonregistry.com/,Nominet,Nominet,http://ntldstats.com/backend/Nominet,https://www.nominet.uk/,whois.nic.buy,utf8,1,,,
joy,joy,1,"Amazon Registry Services, Inc.",Amazon-Registry-Services-Inc,http://ntldstats.com/registry/Amazon-Registry-Services-Inc,https://www.amazonregistry.com/,Nominet,Nominet,http://ntldstats.com/backend/Nominet,https://www.nominet.uk/,whois.nic.joy,utf8,1,,,
aig,aig,1,"American International Group, Inc.",American-International-Group-Inc,http://ntldstats.com/registry/American-International-Group-Inc,,"GoDaddy Registry",GoDaddy-Registry,http://ntldstats.com/backend/GoDaddy-Registry,https://registry.godaddy/,whois.nic.aig,utf8,1,,,
bridgestone,bridgestone,1,"Bridgestone Corporation",Bridgestone-Corporation,http://ntldstats.com/registry/Bridgestone-Corporation,,"GMO Registry, Inc.",GMO-Registry-Inc,http://ntldstats.com/backend/GMO-Registry-Inc,https://www.gmoregistry.com/,whois.nic.bridgestone,utf8,1,,,
got,got,1,"Amazon Registry Services, Inc.",Amazon-Registry-Services-Inc,http://ntldstats.com/registry/Amazon-Registry-Services-Inc,https://www.amazonregistry.com/,Nominet,Nominet,http://ntldstats.com/backend/Nominet,https://www.nominet.uk/,whois.nic.got,utf8,1,,,
school,school,1,"Binky Moon, LLC",Binky-Moon-LLC,http://ntldstats.com/registry/Binky-Moon-LLC,https://identity.digital,"Identity Digital Inc.",Identity-Digital-Inc,http://ntldstats.com/backend/Identity-Digital-Inc,https://identity.digital,whois.donuts.co,utf8,1,,2015-05-25,2015-08-25
room,room,1,"Amazon Registry Services, Inc.",Amazon-Registry-Services-Inc,http://ntldstats.com/registry/Amazon-Registry-Services-Inc,https://www.amazonregistry.com/,Nominet,Nominet,http://ntldstats.com/backend/Nominet,https://www.nominet.uk/,whois.nic.room,utf8,1,,,
xbox,xbox,1,"Microsoft Corporation",Microsoft-Corporation,http://ntldstats.com/registry/Microsoft-Corporation,,"Verisign, Inc.",Verisign-Inc,http://ntldstats.com/backend/Verisign-Inc,https://www.verisign.com/?inc=www.verisigninc.com,whois.nic.xbox,utf8,1,,,
goo,goo,1,"NTT Resonant Inc.",NTT-Resonant-Inc,http://ntldstats.com/registry/NTT-Resonant-Inc,,"GMO Registry, Inc.",GMO-Registry-Inc,http://ntldstats.com/backend/GMO-Registry-Inc,https://www.gmoregistry.com/,whois.nic.goo,utf8,1,,,
bbc,bbc,1,"British Broadcasting Corporation",British-Broadcasting-Corporation,http://ntldstats.com/registry/British-Broadcasting-Corporation,,Nominet,Nominet,http://ntldstats.com/backend/Nominet,https://www.nominet.uk/,whois.nic.bbc,utf8,1,,,
analytics,analytics,1,"Campus IP LLC",Campus-IP-LLC,http://ntldstats.com/registry/Campus-IP-LLC,,"GoDaddy Registry",GoDaddy-Registry,http://ntldstats.com/backend/GoDaddy-Registry,https://registry.godaddy/,whois.nic.analytics,utf8,1,,,
yamaxun,yamaxun,1,"Amazon Registry Services, Inc.",Amazon-Registry-Services-Inc,http://ntldstats.com/registry/Amazon-Registry-Services-Inc,https://www.amazonregistry.com/,Nominet,Nominet,http://ntldstats.com/backend/Nominet,https://www.nominet.uk/,whois.nic.yamaxun,utf8,1,,,
news,news,1,"Dog Beach, LLC",Dog-Beach-LLC,http://ntldstats.com/registry/Dog-Beach-LLC,https://identity.digital,"Identity Digital Inc.",Identity-Digital-Inc,http://ntldstats.com/backend/Identity-Digital-Inc,https://identity.digital,whois.nic.news,utf8,1,,2015-07-08,2015-10-06
pin,pin,1,"Amazon Registry Services, Inc.",Amazon-Registry-Services-Inc,http://ntldstats.com/registry/Amazon-Registry-Services-Inc,https://www.amazonregistry.com/,Nominet,Nominet,http://ntldstats.com/backend/Nominet,https://www.nominet.uk/,whois.nic.pin,utf8,1,,,
rocher,rocher,1,"Ferrero Trading Lux S.A.",Ferrero-Trading-Lux-SA,http://ntldstats.com/registry/Ferrero-Trading-Lux-SA,,"GoDaddy Registry",GoDaddy-Registry,http://ntldstats.com/backend/GoDaddy-Registry,https://registry.godaddy/,whois.nic.rocher,utf8,1,,,
smile,smile,1,"Amazon Registry Services, Inc.",Amazon-Registry-Services-Inc,http://ntldstats.com/registry/Amazon-Registry-Services-Inc,https://www.amazonregistry.com/,Nominet,Nominet,http://ntldstats.com/backend/Nominet,https://www.nominet.uk/,whois.nic.smile,utf8,1,,,
