domain,num_aaaa_fail,rate_all,num_aaaa_all,num_aaaa_success,rate_aaaa_fail
mail.pnpitalia.it,61,0.11%,61,0,100.00%
w.isoleader.com.tw,61,0.11%,61,0,100.00%
test.memryplus.no,61,0.11%,61,0,100.00%
ebook-discount-checker.herokuapp.com,61,0.11%,61,0,100.00%
srv01.got-skills.de,61,0.11%,61,0,100.00%
icu.wjwblog.ml,61,0.11%,61,0,100.00%
ivdu.herokuapp.com,61,0.11%,61,0,100.00%
sklep.architekci.pl,61,0.11%,61,0,100.00%
d1w2n8w3obm3k0.cloudfront.net,61,0.11%,61,0,100.00%
botfuel-hermes-backend-bo.herokuapp.com,61,0.11%,61,0,100.00%
hicbrnuxnyozpgtj.ggyy99.tk,61,0.11%,61,0,100.00%
ldc.lenovo.com.cn,60,0.11%,60,0,100.00%
mirrors.aliyun.com,60,0.11%,63,3,95.24%
s.360.cn,60,0.11%,60,0,100.00%
apac-china-courier-4.push-apple.com.akadns.net,59,0.10%,59,0,100.00%
ris.api.iris.microsoft.com,59,0.10%,59,0,100.00%
sms.wps.cn,59,0.10%,59,0,100.00%
vasapi.wps.cn,59,0.10%,59,0,100.00%
global.quickconnect.cn,58,0.10%,58,0,100.00%
le.wps.cn,58,0.10%,58,0,100.00%
zt.wps.cn,58,0.10%,58,0,100.00%
mirror.iscas.ac.cn,58,0.10%,58,0,100.00%
v20.events.data.microsoft.com,57,0.10%,67,10,85.07%
notice.wps.cn,57,0.10%,57,0,100.00%
zj-roaming.wps.cn,57,0.10%,57,0,100.00%
slapi.oray.net,57,0.10%,57,0,100.00%
store-us-uat.motorola.com,57,0.10%,57,0,100.00%
bugly.qq.com,56,0.10%,56,0,100.00%
client.wns.windows.com,56,0.10%,103,47,54.37%
lucky.wps.cn,56,0.10%,56,0,100.00%
diskapi.baidu.com,56,0.10%,90,34,62.22%
atm-settingsfe-prod-geo2.trafficmanager.net,56,0.10%,56,0,100.00%
p3p.sogou.com,55,0.10%,55,0,100.00%
geo.wps.cn,55,0.10%,55,0,100.00%
avatar.qwps.cn,55,0.10%,55,0,100.00%
tracker.tasvideos.org,55,0.10%,88,33,62.50%
e13678.ca2.s.tl88.net,54,0.09%,54,0,100.00%
array504.prod.do.dsp.mp.microsoft.com,54,0.09%,54,0,100.00%
location.services.mozilla.com,54,0.09%,54,0,100.00%
beacons.gcp.gvt2.com,54,0.09%,58,4,93.10%
matomo.360eol.com,54,0.09%,54,0,100.00%
1-courier.sandbox.push.apple.com,53,0.09%,53,0,100.00%
iaas.wps.cn,53,0.09%,53,0,100.00%
nexusrules.officeapps.live.com,53,0.09%,98,45,54.08%
www.tvnihon.com,52,0.09%,52,0,100.00%
data.bilibili.com,52,0.09%,89,37,58.43%
docer-api.kdocs.cn,52,0.09%,52,0,100.00%
docer.kdocs.cn,52,0.09%,52,0,100.00%
www.apple.com,51,0.09%,52,1,98.08%
dldir1.qq.com,51,0.09%,51,0,100.00%
play.googleapis.com,51,0.09%,54,3,94.44%
asimov.vortex.data.trafficmanager.net,51,0.09%,51,0,100.00%
update.pan.baidu.com,51,0.09%,51,0,100.00%
