domain,num_a_fail,rate_all,num_a_all,num_a_success,rate_a_fail
v20.events.data.microsoft.com,1,0.01%,362,361,0.28%
updatem.360safe.com,1,0.01%,149,148,0.67%
d.skconf.f.360.cn,1,0.01%,214,213,0.47%
slapi.oray.net,1,0.01%,305,304,0.33%
1min.pcfg.cache.wpscdn.cn,1,0.01%,123,122,0.81%
config.pinyin.sogou.com,1,0.01%,688,687,0.15%
pconf.f.360.cn,1,0.01%,179,178,0.56%
tconf2.f.360.cn,1,0.01%,191,190,0.52%
sconf.f.360.cn,1,0.01%,122,121,0.82%
arc.msn.com,1,0.01%,203,202,0.49%
ris.api.iris.microsoft.com,1,0.01%,130,129,0.77%
ip.42.pl,1,0.01%,352,351,0.28%
client.wns.windows.com,1,0.01%,404,403,0.25%
cn.bing.com,1,0.01%,227,226,0.44%
dsp.lenovo.com.cn,1,0.01%,114,113,0.88%
update.wps.cn,1,0.01%,272,271,0.37%
post.ksosoft.com,1,0.01%,101,100,0.99%
www.163.com,1,0.01%,14266,14265,0.01%
ecs.office.com,1,0.01%,161,160,0.62%
update.code.visualstudio.com,1,0.01%,144,143,0.69%
api.vc.bilibili.com,0,0.00%,574,574,0.00%
api.github.com,0,0.00%,127,127,0.00%
prod.detectportal.prod.cloudops.mozgcp.net,0,0.00%,426,426,0.00%
home.hicloud.com,0,0.00%,338,338,0.00%
wwfile.work.weixin.qq.com,0,0.00%,160,160,0.00%
ntp.ubuntu.com,0,0.00%,8335,8335,0.00%
edge.microsoft.com,0,0.00%,901,901,0.00%
dns.msftncsi.com,0,0.00%,2859,2859,0.00%
alfred.ixiacom.com,0,0.00%,154,154,0.00%
info.pinyin.sogou.com,0,0.00%,321,321,0.00%
global.asimov.events.data.trafficmanager.net,0,0.00%,112,112,0.00%
pan.baidu.com,0,0.00%,756,756,0.00%
www.msftncsi.com.edgesuite.net,0,0.00%,180,180,0.00%
smartscreen-prod.microsoft.com,0,0.00%,516,516,0.00%
connectivity-check.ubuntu.com,0,0.00%,1429,1429,0.00%
contile.services.mozilla.com,0,0.00%,347,347,0.00%
dl.min.io,0,0.00%,498,498,0.00%
dispatch.integrate.updrv.com,0,0.00%,385,385,0.00%
az764295.vo.msecnd.net,0,0.00%,466,466,0.00%
umwatson.events.data.microsoft.com,0,0.00%,246,246,0.00%
api.miwifi.com,0,0.00%,1063,1063,0.00%
daisy.ubuntu.com,0,0.00%,1154,1154,0.00%
rq.upgrade.cmpc.cmcm.com,0,0.00%,258,258,0.00%
ocsp.digicert.com,0,0.00%,161,161,0.00%
watson.telemetry.microsoft.com,0,0.00%,374,374,0.00%
dns.weixin.qq.com.cn,0,0.00%,500,500,0.00%
u.y.qq.com,0,0.00%,100,100,0.00%
win10.ipv6.microsoft.com,0,0.00%,523,523,0.00%
