public_resolver,num_all,num_success,rate_success,num_a_all,num_a_success,rate_a_success,num_aaaa_all,num_aaaa_success,rate_aaaa_success
114DNS,88802,71892,80.96%,73599,66969,90.99%,13829,4702,34.00%
360DNS,501,417,83.23%,446,398,89.24%,55,19,34.55%
AliDNS,80931,61301,75.74%,50479,45871,90.87%,29076,15154,52.12%
DNSPOD,14292,10690,74.80%,11100,9951,89.65%,3172,739,23.30%
GoogleDNS,200591,175832,87.66%,156278,150715,96.44%,24630,7853,31.88%
OpenDNS,186,135,72.58%,127,119,93.70%,59,16,27.12%
cloudflare,204,142,69.61%,195,138,70.77%,9,4,44.44%
BaiduDNS,852,567,66.55%,746,524,70.24%,103,43,41.75%
